2019-05-28 22:36:39.253 INFO [main]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listUsingGET_22
2019-05-28 22:36:39.261 INFO [main]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByDepartmentIDUsingGET_7
2019-05-28 22:36:39.268 INFO [main]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByUniversityIDUsingGET_10
2019-05-28 22:36:39.276 INFO [main]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: receiveUsingGET_13
2019-05-28 22:36:39.283 INFO [main]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: updateUsingPUT_11
2019-05-28 22:36:39.366 INFO [main]org.apache.coyote.http11.Http11NioProtocol.log:173 -Starting ProtocolHandler ["http-nio-8080"]
2019-05-28 22:36:39.418 INFO [main]o.s.boot.web.embedded.tomcat.TomcatWebServer.start:204 -Tomcat started on port(s): 8080 (http) with context path ''
2019-05-28 22:36:39.427 INFO [main]edu.uni.UniApplication.logStarted:59 -Started UniApplication in 12.564 seconds (JVM running for 25.767)
2019-05-28 22:40:18.701 INFO [rebel-change-detector-thread]o.s.d.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:126 -Bootstrapping Spring Data repositories in DEFAULT mode.
2019-05-28 22:40:18.849 INFO [rebel-change-detector-thread]o.s.d.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:182 -Finished Spring Data repository scanning in 144ms. Found 0 repository interfaces.
2019-05-28 22:40:18.969 WARN [rebel-change-detector-thread]org.mybatis.spring.mapper.ClassPathMapperScanner.warn:44 -No MyBatis mapper was found in '[edu.uni.*.mapper]' package. Please check your configuration.
2019-05-28 22:40:54.399 INFO [http-nio-8080-exec-1]o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/].log:173 -Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-05-28 22:40:54.400 INFO [http-nio-8080-exec-1]org.springframework.web.servlet.DispatcherServlet.initServletBean:524 -Initializing Servlet 'dispatcherServlet'
2019-05-28 22:40:54.449 INFO [http-nio-8080-exec-1]org.springframework.web.servlet.DispatcherServlet.initServletBean:546 -Completed initialization in 49 ms
2019-05-28 22:40:55.467 INFO [http-nio-8080-exec-5]s.d.spring.web.scanners.ApiListingReferenceScanner.scan:41 -Scanning for api listing references
2019-05-28 22:40:55.546 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: deleteCacheUsingDELETE_2
2019-05-28 22:40:55.560 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: deleteCanlendarByIdUsingDELETE_1
2019-05-28 22:40:55.571 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: selectAllCanlendarUsingGET_1
2019-05-28 22:40:55.583 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: updateCanlendarUsingPOST_1
2019-05-28 22:40:55.601 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: createUsingPOST_17
2019-05-28 22:40:55.614 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: destroyUsingDELETE_12
2019-05-28 22:40:55.628 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listUsingGET_23
2019-05-28 22:40:55.640 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByDepartmentIDUsingGET_8
2019-05-28 22:40:55.651 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listBySubdepartmentIDUsingGET_3
2019-05-28 22:40:55.662 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByUniversityIDUsingGET_11
2019-05-28 22:40:55.673 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: receiveUsingGET_14
2019-05-28 22:40:55.689 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: updateUsingPUT_12
2019-05-28 22:40:55.711 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: createUsingPOST_18
2019-05-28 22:40:55.727 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: destroyUsingDELETE_13
2019-05-28 22:40:55.739 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listUsingGET_24
2019-05-28 22:40:55.749 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listUsingGET_25
2019-05-28 22:40:55.759 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByClassIDUsingGET_2
2019-05-28 22:40:55.769 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByStudentIDUsingGET_1
2019-05-28 22:40:55.779 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: listByUniversityIDUsingGET_12
2019-05-28 22:40:55.790 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: receiveUsingGET_15
2019-05-28 22:40:55.802 INFO [http-nio-8080-exec-5]s.d.s.w.readers.operation.CachingOperationNameGenerator.startingWith:40 -Generating unique operation named: updateUsingPUT_13
